Service Name,Email
Avtek,eventstech@msu.mcmaster.ca
Campus Events,eventspromo@msu.mcmaster.ca
CFMU,cfmupromotions@msu.mcmaster.ca
Diversity + Equity Network,diversitypromotions@msu.mcmaster.ca
EFRT,efrt@msu.mcmaster.ca
First Year Council,fyc@msu.mcmaster.ca
Food Collective Centre,fccpromo@msu.mcmaster.ca
HotSpot,ittech@msu.mcmaster.ca
Macademics,macademicspromo@msu.mcmaster.ca
Maccess,maccesspromo@msu.mcmaster.ca
Maroons,maroons_promo@msu.mcmaster.ca
Ombuds,ombuds@msu.mcmaster.ca
Pride,pridepromo@msu.mcmaster.ca
SHEC,shecpromotions@msu.mcmaster.ca
Spark,sparkpromo_pub@msu.mcmaster.ca
SWHAT,swhat@msu.mcmaster.ca
WGEN,wgenpromo@msu.mcmaster.ca
Elections,elections@msu.mcmaster.ca
First Year Council,fyc@msu.mcmaster.ca
SRA,
Clubs,clubsadmin@msu.mcmaster.ca
TwelveEighty/Grind/Union/Student,sm1280@msu.mcmaster.ca
Hub,hub@msu.mcmaster.ca










